Player,Age,Position,From Club,Club_Country,To Club,National Team,Status,Reason for Rejection / Current Status,Transfer Fee,Wages Offered,Last Club Wages
Karim Benzema,35 years,FW,Real Madrid,La Liga,Al Ittihad,France,Accepted Deal,,#N/A,400000000,24000000
N'Golo Kante,32 years,MF,Chelsea,English Premier League,Al Ittihad,France,Accepted Deal,,#N/A,86000000,17000000
Ruben Neves,26 years,MF,Wolverhampton,English Premier League,Al Hilal,Portugal,Accepted Deal,,55000000,19000000,3000000
Kalidou Koulibaly,32 years,DF,Chelsea,English Premier League,Al Hilal,Senegal,Accepted Deal,,21000000,35000000,18000000
Edouard Mendy,31 years,GK,Chelsea,English Premier League,Al Ahli,Senegal,Accepted Deal,,20000000,11000000,3000000
Marcelo Brozovic,30 years,MF,Inter Milan,Serie A,Al Nassr,Croatia,Accepted Deal,,18000000,25000000,11000000
Jota,26 years,FW,Celtic,Scottish Premiership,Al Ittihad,Portugal,Accepted Deal,,32000000,12000000,820000
Roberto Firmino,31 years,FW,Liverpool,English Premier League,Al Ahli,Brazil,Accepted Deal,,#N/A,20000000,11000000
Sergej MilinkovicSavic,28 years,MF,Lazio,Serie A,Al Hilal,Serbia,Accepted Deal,,40000000,20000000,6000000
Seko Fofana,28 years,MF,Lens,Ligue 1,Al Nassr,Ivory Coast,Accepted Deal,,25000000,15000000,6000000
Malcom,26 years,FW,Zenit St Petersburg,Russian Premier League,Al Hilal,Brazil,Accepted Deal,,60000000,18000000,1800000
Jordan Henderson,33 years,MF,Liverpool,English Premier League,Al Ettifaq,England,Accepted Deal,,16000000,36000000,8400000
Moussa Dembele,27 years,FW,Lyon,Ligue 1,Al Ettifaq,France,Accepted Deal,,#N/A,#N/A,3100000
Jack Hendry,28 years,DF,Club Brugge,Belgian Pro League,Al Ettifaq,Scotland,Accepted Deal,,9000000,15000000,#N/A
Neymar,31 years,FW,PSG,Ligue 1,Al Hilal,Brazil,Ongoing Talks,,#N/A,#N/A,56300000
Hakim Ziyech,30 years,MF,Chelsea,English Premier League,Al Nassr,Morocco,Rejected Deal,Failed Medical,6000000,#N/A,6000000
Bernardo Silva,28 years,MF,Manchester City,English Premier League,Al Hilal,Portugal,Ongoing Talks,,88000000,26000000,9000000
Saul,28 years,MF,Atletico Madrid,La Liga,Al Nassr,Spain,Ongoing Talks,,#N/A,#N/A,12000000
Wilfried Zaha,30 years,FW,Crystal Palace,English Premier League,Al Nassr,Ivory Coast,Rejected Deal,Joined Galatasray,#N/A,15000000,7800000
Gianluigi Buffon,45 years,GK,Parma,Serie A,Unnamed Club,Italy,Ongoing Talks,,#N/A,23000000,#N/A
Paul Pogba,30 years,MF,Juventus,Serie A,Al Ahli,France,Ongoing Talks,,#N/A,92000000,10200000
Fabinho,29 years,MF,Liverpool,English Premier League,Al Ittihad,Brazil,Ongoing Talks,,50000000,9000000,10800000
Allan SaintMaximin,26 years,FW,Newcastle United,English Premier League,Al Ahli,France,Ongoing Talks,,29000000,12000000,4200000
Alex Telles,30 years,DF,Manchester United,English Premier League,Al Nassr,Brazil,Accepted Deal,,5000000,7000000,2500000
Riyad Mahrez,32 years,FW,Manchester City,English Premier League,Al Ahli,Algeria,Accepted Deal,,38000000,45000000,9600000
Kylian Mbappe,24 years,FW,PSG,Ligue 1,Al Hilal,France,Rejected Deal,Contract Standoff with PSG,376000000,600000000,72000000
Lionel Messi,36 years,FW,PSG,Ligue 1,Al Hilal,Argentina,Rejected Deal,Joined MLS side Inter Miami,#N/A,400000000,63600000
Romelu Lukaku,30 years,FW,Chelsea,English Premier League,Al Hilal,Belgium,Rejected Deal,Preferred permanent move to Inter Milan,#N/A,#N/A,19600000
Son HeungMin,31 years,FW,Tottenham Hotspur,English Premier League,Al Ittihad,South Korea,Rejected Deal,Preferred to stay at Tottenham,#N/A,#N/A,11400000
Luka Modric,37 years,MF,Real Madrid,La Liga,Al Hilal,Croatia,Rejected Deal,Signed a new oneyear deal with Real Madrid,#N/A,#N/A,21800000
Jamie Vardy,36 years,FW,Leicester City,English Premier League,Al Khaleej,England,Rejected Deal,Preferred to stay at Leicester City,#N/A,#N/A,8400000
Pedro,36 years,FW,Flamengo,Brazil League,Al Hilal,Spain,Rejected Deal,,#N/A,#N/A,#N/A
